DATE,OPEN,HIGH,LOW,CLOSE,SHARES,TRADES
28-02-2020,90.75,92.65,89.55,91.95,1051379,5307
27-02-2020,96.00,96.00,92.15,93.30,896683,5113
26-02-2020,97.90,98.50,95.45,95.80,655048,3267
25-02-2020,99.30,100.25,97.25,97.55,635910,3154
24-02-2020,102.90,102.90,97.30,98.00,1293184,4879
20-02-2020,102.15,104.10,101.75,102.85,778533,6047
19-02-2020,100.10,102.20,98.80,101.70,657005,5459
18-02-2020,100.30,100.30,96.60,99.25,948522,5497
17-02-2020,101.85,102.90,98.85,99.95,1135939,6807
14-02-2020,105.90,106.10,103.05,103.25,797206,7057
13-02-2020,107.00,108.30,104.30,105.35,507558,3941
12-02-2020,107.00,107.80,106.50,106.75,309260,2290
11-02-2020,107.45,107.55,106.30,106.65,424655,4169
10-02-2020,109.00,109.50,105.90,106.20,484592,6105
07-02-2020,108.00,109.75,106.60,109.30,529199,3822
06-02-2020,107.00,107.80,106.35,107.25,331143,2655
05-02-2020,106.70,107.40,105.25,106.70,501107,5442
04-02-2020,104.30,106.90,103.50,106.05,537713,4120
03-02-2020,105.00,105.00,101.50,103.40,696893,5982
01-02-2020,110.70,110.70,102.60,104.35,1346886,12587
31-01-2020,116.00,116.05,106.80,108.90,2025146,21126
30-01-2020,117.90,117.90,115.05,115.60,413252,3566
29-01-2020,117.20,118.15,116.50,117.60,453707,3364
28-01-2020,117.85,117.85,115.65,116.70,400900,3329
27-01-2020,118.75,118.75,116.85,117.20,368294,3377
24-01-2020,118.95,119.80,117.35,118.35,378585,6007
23-01-2020,117.00,118.90,116.50,117.75,779772,8198
22-01-2020,123.00,123.00,116.00,116.45,1234256,10349
21-01-2020,123.00,124.45,122.40,122.75,294385,2607
20-01-2020,126.00,126.70,120.05,122.35,631926,5443
17-01-2020,125.00,125.55,124.00,125.35,179220,1487
16-01-2020,125.15,125.15,124.05,124.50,1204732,2051
15-01-2020,125.35,125.45,124.30,124.75,162044,1563
14-01-2020,125.85,125.85,123.85,125.10,261843,3083
13-01-2020,124.65,125.65,124.30,125.45,172484,1906
10-01-2020,124.80,125.20,123.70,124.10,172122,2301
09-01-2020,125.30,125.30,122.80,123.65,588321,16279
08-01-2020,125.00,125.40,123.15,123.50,289944,2395
07-01-2020,126.30,127.65,125.40,125.70,303374,2177
06-01-2020,130.50,130.50,125.05,126.25,646975,4852
03-01-2020,130.55,133.40,128.00,128.50,1099508,7990
02-01-2020,127.35,128.60,127.35,128.00,134563,2850
01-01-2020,128.65,128.95,127.00,127.40,130503,1810
31-12-2019,127.95,129.25,127.50,128.75,158230,1369
30-12-2019,128.40,129.20,127.20,127.95,154323,1507
27-12-2019,129.15,129.80,127.20,128.40,288717,2057
26-12-2019,126.85,129.45,124.55,128.05,405800,2754
24-12-2019,125.00,126.60,124.65,126.00,199063,1326
23-12-2019,125.20,126.30,124.10,124.65,328816,1722
20-12-2019,126.40,126.80,124.85,125.10,550426,2766
19-12-2019,126.00,126.80,124.30,125.60,747628,3209
