,timestamp, Close/Last_ACTUAL, Close/Last_FORECAST
1279,2015-01-29,118.9,
1278,2015-01-30,117.16,
1277,2015-02-02,118.63,
1276,2015-02-03,118.65,
1275,2015-02-04,119.56,
1274,2015-02-05,119.94,
1273,2015-02-06,118.93,
1272,2015-02-09,119.72,
1271,2015-02-10,122.02,
1270,2015-02-11,124.88,
1269,2015-02-12,126.46,
1268,2015-02-13,127.08,
1267,2015-02-17,127.83,
1266,2015-02-18,128.715,
1265,2015-02-19,128.45,
1264,2015-02-20,129.495,
1263,2015-02-23,133.0,
1262,2015-02-24,132.17,
1261,2015-02-25,128.79,
1260,2015-02-26,130.415,
1259,2015-02-27,128.46,
1258,2015-03-02,129.09,
1257,2015-03-03,129.36,
1256,2015-03-04,128.54,
1255,2015-03-05,126.41,
1254,2015-03-06,126.6,
1253,2015-03-09,127.14,
1252,2015-03-10,124.51,
1251,2015-03-11,122.24,
1250,2015-03-12,124.45,
1249,2015-03-13,123.59,
1248,2015-03-16,124.95,
1247,2015-03-17,127.04,
1246,2015-03-18,128.47,
1245,2015-03-19,127.495,
1244,2015-03-20,125.9,
1243,2015-03-23,127.21,
1242,2015-03-24,126.69,
1241,2015-03-25,123.38,
1240,2015-03-26,124.24,
1239,2015-03-27,123.25,
1238,2015-03-30,126.37,
1237,2015-03-31,124.43,
1236,2015-04-01,124.25,
1235,2015-04-02,125.32,
1234,2015-04-06,127.35,
1233,2015-04-07,126.01,
1232,2015-04-08,125.6,
1231,2015-04-09,126.56,
1230,2015-04-10,127.1,
1229,2015-04-13,126.85,
1228,2015-04-14,126.3,
1227,2015-04-15,126.78,
1226,2015-04-16,126.17,
1225,2015-04-17,124.75,
1224,2015-04-20,127.6,
1223,2015-04-21,126.91,
1222,2015-04-22,128.62,
1221,2015-04-23,129.67,
1220,2015-04-24,130.28,
1219,2015-04-27,132.65,
1218,2015-04-28,130.56,
1217,2015-04-29,128.64,
1216,2015-04-30,125.15,
1215,2015-05-01,128.95,
1214,2015-05-04,128.7,
1213,2015-05-05,125.8,
1212,2015-05-06,125.01,
1211,2015-05-07,125.26,
1210,2015-05-08,127.62,
1209,2015-05-11,126.32,
1208,2015-05-12,125.865,
1207,2015-05-13,126.01,
1206,2015-05-14,128.95,
1205,2015-05-15,128.77,
1204,2015-05-18,130.19,
1203,2015-05-19,130.07,
1202,2015-05-20,130.06,
1201,2015-05-21,131.39,
1200,2015-05-22,132.54,
1199,2015-05-26,129.62,
1198,2015-05-27,132.045,
1197,2015-05-28,131.78,
1196,2015-05-29,130.28,
1195,2015-06-01,130.535,
1194,2015-06-02,129.96,
1193,2015-06-03,130.12,
1192,2015-06-04,129.36,
1191,2015-06-05,128.65,
1190,2015-06-08,127.8,
1189,2015-06-09,127.42,
1188,2015-06-10,128.88,
1187,2015-06-11,128.59,
1186,2015-06-12,127.17,
1185,2015-06-15,126.92,
1184,2015-06-16,127.6,
1183,2015-06-17,127.3,
1182,2015-06-18,127.88,
1181,2015-06-19,126.6,
1180,2015-06-22,127.61,
1179,2015-06-23,127.03,
1178,2015-06-24,128.11,
1177,2015-06-25,127.5,
1176,2015-06-26,126.75,
1175,2015-06-29,124.53,
1174,2015-06-30,125.425,
1173,2015-07-01,126.6,
1172,2015-07-02,126.44,
1171,2015-07-06,126.0,
1170,2015-07-07,125.69,
1169,2015-07-08,122.57,
1168,2015-07-09,120.07,
1167,2015-07-10,123.28,
1166,2015-07-13,125.66,
1165,2015-07-14,125.61,
1164,2015-07-15,126.82,
1163,2015-07-16,128.51,
1162,2015-07-17,129.62,
1161,2015-07-20,132.07,
1160,2015-07-21,130.75,
1159,2015-07-22,125.22,
1158,2015-07-23,125.16,
1157,2015-07-24,124.5,
1156,2015-07-27,122.77,
1155,2015-07-28,123.38,
1154,2015-07-29,122.99,
1153,2015-07-30,122.37,
1152,2015-07-31,121.3,
1151,2015-08-03,118.44,
1150,2015-08-04,114.64,
1149,2015-08-05,115.4,
1148,2015-08-06,115.13,
1147,2015-08-07,115.52,
1146,2015-08-10,119.72,
1145,2015-08-11,113.49,
1144,2015-08-12,115.24,
1143,2015-08-13,115.15,
1142,2015-08-14,115.96,
1141,2015-08-17,117.16,
1140,2015-08-18,116.5,
1139,2015-08-19,115.01,
1138,2015-08-20,112.65,
1137,2015-08-21,105.76,
1136,2015-08-24,103.12,
1135,2015-08-25,103.74,
1134,2015-08-26,109.69,
1133,2015-08-27,112.92,
1132,2015-08-28,113.29,
1131,2015-08-31,112.76,
1130,2015-09-01,107.72,
1129,2015-09-02,112.34,
1128,2015-09-03,110.37,
1127,2015-09-04,109.27,
1126,2015-09-08,112.31,
1125,2015-09-09,110.15,
1124,2015-09-10,112.57,
1123,2015-09-11,114.21,
1122,2015-09-14,115.31,
1121,2015-09-15,116.28,
1120,2015-09-16,116.41,
1119,2015-09-17,113.92,
1118,2015-09-18,113.45,
1117,2015-09-21,115.21,
1116,2015-09-22,113.4,
1115,2015-09-23,114.32,
1114,2015-09-24,115.0,
1113,2015-09-25,114.71,
1112,2015-09-28,112.44,
1111,2015-09-29,109.06,
1110,2015-09-30,110.3,
1109,2015-10-01,109.58,
1108,2015-10-02,110.38,
1107,2015-10-05,110.78,
1106,2015-10-06,111.31,
1105,2015-10-07,110.78,
1104,2015-10-08,109.5,
1103,2015-10-09,112.12,
1102,2015-10-12,111.6,
1101,2015-10-13,111.79,
1100,2015-10-14,110.21,
1099,2015-10-15,111.86,
1098,2015-10-16,111.04,
1097,2015-10-19,111.73,
1096,2015-10-20,113.77,
1095,2015-10-21,113.76,
1094,2015-10-22,115.5,
1093,2015-10-23,119.08,
1092,2015-10-26,115.28,
1091,2015-10-27,114.55,
1090,2015-10-28,119.27,
1089,2015-10-29,120.53,
1088,2015-10-30,119.5,
1087,2015-11-02,121.18,
1086,2015-11-03,122.57,
1085,2015-11-04,122.0,
1084,2015-11-05,120.92,
1083,2015-11-06,121.06,
1082,2015-11-09,120.57,
1081,2015-11-10,116.77,
1080,2015-11-11,116.11,
1079,2015-11-12,115.72,
1078,2015-11-13,112.34,
1077,2015-11-16,114.175,
1076,2015-11-17,113.69,
1075,2015-11-18,117.29,
1074,2015-11-19,118.78,
1073,2015-11-20,119.3,
1072,2015-11-23,117.75,
1071,2015-11-24,118.88,
1070,2015-11-25,118.03,
1069,2015-11-27,117.81,
1068,2015-11-30,118.3,
1067,2015-12-01,117.34,
1066,2015-12-02,116.28,
1065,2015-12-03,115.2,
1064,2015-12-04,119.03,
1063,2015-12-07,118.28,
1062,2015-12-08,118.23,
1061,2015-12-09,115.62,
1060,2015-12-10,116.17,
1059,2015-12-11,113.18,
1058,2015-12-14,112.48,
1057,2015-12-15,110.49,
1056,2015-12-16,111.34,
1055,2015-12-17,108.98,
1054,2015-12-18,106.03,
1053,2015-12-21,107.33,
1052,2015-12-22,107.23,
1051,2015-12-23,108.61,
1050,2015-12-24,108.03,
1049,2015-12-28,106.82,
1048,2015-12-29,108.74,
1047,2015-12-30,107.32,
1046,2015-12-31,105.26,
1045,2016-01-04,105.35,
1044,2016-01-05,102.71,
1043,2016-01-06,100.7,
1042,2016-01-07,96.45,
1041,2016-01-08,96.96,
1040,2016-01-11,98.53,
1039,2016-01-12,99.96,
1038,2016-01-13,97.39,
1037,2016-01-14,99.52,
1036,2016-01-15,97.13,
1035,2016-01-19,96.66,
1034,2016-01-20,96.79,
1033,2016-01-21,96.3,
1032,2016-01-22,101.42,
1031,2016-01-25,99.44,
1030,2016-01-26,99.99,
1029,2016-01-27,93.42,
1028,2016-01-28,94.09,
1027,2016-01-29,97.34,
1026,2016-02-01,96.43,
1025,2016-02-02,94.48,
1024,2016-02-03,96.35,
1023,2016-02-04,96.6,
1022,2016-02-05,94.02,
1021,2016-02-08,95.01,
1020,2016-02-09,94.99,
1019,2016-02-10,94.27,
1018,2016-02-11,93.7,
1017,2016-02-12,93.99,
1016,2016-02-16,96.64,
1015,2016-02-17,98.12,
1014,2016-02-18,96.26,
1013,2016-02-19,96.04,
1012,2016-02-22,96.88,
1011,2016-02-23,94.69,
1010,2016-02-24,96.1,
1009,2016-02-25,96.76,
1008,2016-02-26,96.91,
1007,2016-02-29,96.69,
1006,2016-03-01,100.53,
1005,2016-03-02,100.75,
1004,2016-03-03,101.5,
1003,2016-03-04,103.01,
1002,2016-03-07,101.87,
1001,2016-03-08,101.03,
1000,2016-03-09,101.12,
999,2016-03-10,101.17,
998,2016-03-11,102.26,
997,2016-03-14,102.52,
996,2016-03-15,104.58,
995,2016-03-16,105.97,
994,2016-03-17,105.8,
993,2016-03-18,105.92,
992,2016-03-21,105.91,
991,2016-03-22,106.72,
990,2016-03-23,106.13,
989,2016-03-24,105.67,
988,2016-03-28,105.19,
987,2016-03-29,107.68,
986,2016-03-30,109.56,
985,2016-03-31,108.99,
984,2016-04-01,109.99,
983,2016-04-04,111.12,
982,2016-04-05,109.81,
981,2016-04-06,110.96,
980,2016-04-07,108.54,
979,2016-04-08,108.66,
978,2016-04-11,109.02,
977,2016-04-12,110.44,
976,2016-04-13,112.04,
975,2016-04-14,112.1,
974,2016-04-15,109.85,
973,2016-04-18,107.48,
972,2016-04-19,106.91,
971,2016-04-20,107.13,
970,2016-04-21,105.97,
969,2016-04-22,105.68,
968,2016-04-25,105.08,
967,2016-04-26,104.35,
966,2016-04-27,97.82,
965,2016-04-28,94.83,
964,2016-04-29,93.74,
963,2016-05-02,93.64,
962,2016-05-03,95.18,
961,2016-05-04,94.19,
960,2016-05-05,93.24,
959,2016-05-06,92.72,
958,2016-05-09,92.79,
957,2016-05-10,93.42,
956,2016-05-11,92.51,
955,2016-05-12,90.34,
954,2016-05-13,90.52,
953,2016-05-16,93.88,
952,2016-05-17,93.49,
951,2016-05-18,94.56,
950,2016-05-19,94.2,
949,2016-05-20,95.22,
948,2016-05-23,96.43,
947,2016-05-24,97.9,
946,2016-05-25,99.62,
945,2016-05-26,100.41,
944,2016-05-27,100.35,
943,2016-05-31,99.86,
942,2016-06-01,98.46,
941,2016-06-02,97.72,
940,2016-06-03,97.92,
939,2016-06-06,98.63,
938,2016-06-07,99.03,
937,2016-06-08,98.94,
936,2016-06-09,99.65,
935,2016-06-10,98.83,
934,2016-06-13,97.34,
933,2016-06-14,97.46,
932,2016-06-15,97.14,
931,2016-06-16,97.55,
930,2016-06-17,95.33,
929,2016-06-20,95.1,
928,2016-06-21,95.91,
927,2016-06-22,95.55,
926,2016-06-23,96.1,
925,2016-06-24,93.4,
924,2016-06-27,92.04,
923,2016-06-28,93.59,
922,2016-06-29,94.4,
921,2016-06-30,95.6,
920,2016-07-01,95.89,
919,2016-07-05,94.99,
918,2016-07-06,95.53,
917,2016-07-07,95.94,
916,2016-07-08,96.68,
915,2016-07-11,96.98,
914,2016-07-12,97.42,
913,2016-07-13,96.87,
912,2016-07-14,98.79,
911,2016-07-15,98.78,
910,2016-07-18,99.83,
909,2016-07-19,99.87,
908,2016-07-20,99.96,
907,2016-07-21,99.43,
906,2016-07-22,98.66,
905,2016-07-25,97.34,
904,2016-07-26,96.67,
903,2016-07-27,102.95,
902,2016-07-28,104.34,
901,2016-07-29,104.21,
900,2016-08-01,106.05,
899,2016-08-02,104.48,
898,2016-08-03,105.79,
897,2016-08-04,105.87,
896,2016-08-05,107.48,
895,2016-08-08,108.37,
894,2016-08-09,108.81,
893,2016-08-10,108.0,
892,2016-08-11,107.93,
891,2016-08-12,108.18,
890,2016-08-15,109.48,
889,2016-08-16,109.38,
888,2016-08-17,109.22,
887,2016-08-18,109.08,
886,2016-08-19,109.36,
885,2016-08-22,108.51,
884,2016-08-23,108.85,
883,2016-08-24,108.03,
882,2016-08-25,107.57,
881,2016-08-26,106.94,
880,2016-08-29,106.82,
879,2016-08-30,106.0,
878,2016-08-31,106.1,
877,2016-09-01,106.73,
876,2016-09-02,107.73,
875,2016-09-06,107.7,
874,2016-09-07,108.36,
873,2016-09-08,105.52,
872,2016-09-09,103.13,
871,2016-09-12,105.44,
870,2016-09-13,107.95,
869,2016-09-14,111.77,
868,2016-09-15,115.57,
867,2016-09-16,114.92,
866,2016-09-19,113.58,
865,2016-09-20,113.57,
864,2016-09-21,113.55,
863,2016-09-22,114.62,
862,2016-09-23,112.71,
861,2016-09-26,112.88,
860,2016-09-27,113.09,
859,2016-09-28,113.95,
858,2016-09-29,112.18,
857,2016-09-30,113.05,
856,2016-10-03,112.52,
855,2016-10-04,113.0,
854,2016-10-05,113.05,
853,2016-10-06,113.89,
852,2016-10-07,114.06,
851,2016-10-10,116.05,
850,2016-10-11,116.3,
849,2016-10-12,117.34,
848,2016-10-13,116.98,
847,2016-10-14,117.63,
846,2016-10-17,117.55,
845,2016-10-18,117.47,
844,2016-10-19,117.12,
843,2016-10-20,117.06,
842,2016-10-21,116.6,
841,2016-10-24,117.65,
840,2016-10-25,118.25,
839,2016-10-26,115.59,
838,2016-10-27,114.48,
837,2016-10-28,113.72,
836,2016-10-31,113.54,
835,2016-11-01,111.49,
834,2016-11-02,111.59,
833,2016-11-03,109.83,
832,2016-11-04,108.84,
831,2016-11-07,110.41,
830,2016-11-08,111.06,
829,2016-11-09,110.88,
828,2016-11-10,107.79,
827,2016-11-11,108.43,
826,2016-11-14,105.71,
825,2016-11-15,107.11,
824,2016-11-16,109.99,
823,2016-11-17,109.95,
822,2016-11-18,110.06,
821,2016-11-21,111.73,
820,2016-11-22,111.8,
819,2016-11-23,111.23,
818,2016-11-25,111.79,
817,2016-11-28,111.57,
816,2016-11-29,111.46,
815,2016-11-30,110.52,
814,2016-12-01,109.49,
813,2016-12-02,109.9,
812,2016-12-05,109.11,
811,2016-12-06,109.95,
810,2016-12-07,111.03,
809,2016-12-08,112.12,
808,2016-12-09,113.95,
807,2016-12-12,113.3,
806,2016-12-13,115.19,
805,2016-12-14,115.19,
804,2016-12-15,115.82,
803,2016-12-16,115.97,
802,2016-12-19,116.64,
801,2016-12-20,116.95,
800,2016-12-21,117.06,
799,2016-12-22,116.29,
798,2016-12-23,116.52,
797,2016-12-27,117.26,
796,2016-12-28,116.76,
795,2016-12-29,116.73,
794,2016-12-30,115.82,
793,2017-01-03,116.15,
792,2017-01-04,116.02,
791,2017-01-05,116.61,
790,2017-01-06,117.91,
789,2017-01-09,118.99,
788,2017-01-10,119.11,
787,2017-01-11,119.75,
786,2017-01-12,119.25,
785,2017-01-13,119.04,
784,2017-01-17,120.0,
783,2017-01-18,119.99,
782,2017-01-19,119.78,
781,2017-01-20,120.0,
780,2017-01-23,120.08,
779,2017-01-24,119.97,
778,2017-01-25,121.88,
777,2017-01-26,121.94,
776,2017-01-27,121.95,
775,2017-01-30,121.63,
774,2017-01-31,121.35,
773,2017-02-01,128.75,
772,2017-02-02,128.53,
771,2017-02-03,129.08,
770,2017-02-06,130.29,
769,2017-02-07,131.53,
